Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022]
"Egypt, Arab Rep.",EGY,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,124.5,161.8
El Salvador,SLV,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,109.7,125
Equatorial Guinea,GNQ,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,148.4,233.8
Eritrea,ERI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,112.2,134
Estonia,EST,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,127.5,138.7
Eswatini,SWZ,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,118.8,125
Ethiopia,ETH,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,121.5,133.9
Faroe Islands,FRO,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,116.2,133
Fiji,FJI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,116.1,124
Finland,FIN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,122.2,130.6
France,FRA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,125,128.4
French Polynesia,PYF,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,101.5,111
Gabon,GAB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,128.8,165.2
"Gambia, The",GMB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,118.2,131.4
Georgia,GEO,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,128.5,136
Germany,DEU,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,126.9,129.4
Ghana,GHA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,130.7,149.1
Gibraltar,GIB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,113.2,149.9
Greece,GRC,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,122.4,146.7
Greenland,GRL,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,110.2,118
Grenada,GRD,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,116.7,126.5
Guam,GUM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,120.5,159.1
Guatemala,GTM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,105.1,115.3
Guinea,GIN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,140.3,152.6
Guinea-Bissau,GNB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,107.5,124.1
Guyana,GUY,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,164.9,211.3
Haiti,HTI,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,101.5,106.1
Honduras,HND,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,111,125.3
